p,q,mean_absorption_time,mean_first_hit_time,mean_tail_frequency,mean_entrenchment_degree,mean_max_nontrue_formula_frequency,mean_true_world_formula_frequency,runs_reaching_absorption,runs_reaching_first_hit
0.22,0.14,172.053,104.039,1.0,5.656,0.20011700912029443,0.23178156660011495,1000,1000
0.22,0.15,221.671,139.246,1.0,5.433,0.20527825587829093,0.2307515433575996,1000,1000
0.22,0.16,301.6,188.622,1.0,5.508,0.21088079120086586,0.2328016500053199,1000,1000
0.22,0.17,397.356,246.053,1.0,5.352,0.21572757689355018,0.23309438937214946,1000,1000
0.22,0.18,594.273,377.975,1.0,5.234,0.21971126938920907,0.23223683170958945,1000,1000
0.22,0.19,1043.735,704.136,1.0,5.264,0.2226473723237921,0.23142481829938644,1000,1000
0.22,0.20,2060.288,1422.393,1.0,5.054,0.224835992745844,0.23006560361181988,1000,1000
0.22,0.21,7231.605,5402.194,1.0,4.891,0.22662608016294133,0.22959889996042107,1000,1000
0.23,0.01,5.706,4.248,1.0,17.765,0.06823435881153683,0.3889901871146145,1000,1000
0.23,0.02,10.056,7.737,1.0,12.676,0.08305668954763375,0.29701793912699265,1000,1000
0.23,0.03,14.983,10.908,1.0,10.612,0.09583503930168426,0.2621706497302329,1000,1000
0.23,0.04,19.22,13.34,1.0,9.496,0.10871773934714898,0.2504743818443714,1000,1000
0.23,0.05,23.762,16.138,1.0,8.839,0.12063405666897842,0.24538250109505222,1000,1000
0.23,0.06,30.667,20.566,1.0,8.449,0.13192964417875885,0.24153857095201312,1000,1000
0.23,0.07,35.928,23.159,1.0,7.884,0.14247120059082652,0.23970922729180097,1000,1000
0.23,0.08,43.972,27.427,1.0,7.595,0.15360102690029903,0.240980918582127,1000,1000
0.23,0.09,51.46,32.426,1.0,7.349,0.16307865867806948,0.2419047245897844,1000,1000
0.23,0.10,62.431,37.998,1.0,6.841,0.1733522673049469,0.24042118784743433,1000,1000
0.23,0.11,77.208,47.694,1.0,6.694,0.1814745879283396,0.24045800509337334,1000,1000
0.23,0.12,90.942,55.942,1.0,6.369,0.18974889090292352,0.24165270204210884,1000,1000
0.23,0.13,114.185,68.17,1.0,6.267,0.19639615676182176,0.24139135203950654,1000,1000
0.23,0.14,133.129,79.499,1.0,5.905,0.20517748548838377,0.24328429861109124,1000,1000
0.23,0.15,184.8,112.272,1.0,5.87,0.2096600456129919,0.24027378429025573,1000,1000
0.23,0.16,228.017,140.113,1.0,5.789,0.21673301932763042,0.24333378860867014,1000,1000
0.23,0.17,289.729,186.08,1.0,5.539,0.2221656240168653,0.2441069079922407,1000,1000
0.23,0.18,425.7,276.143,1.0,5.309,0.2258597575110931,0.24238949382573446,1000,1000
0.23,0.19,627.472,412.775,1.0,5.243,0.22948931638534528,0.24157073839895157,1000,1000
0.23,0.20,1090.8,729.097,1.0,5.128,0.23273075855887546,0.24112418899973137,1000,1000
0.23,0.21,2139.174,1555.131,1.0,5.045,0.23557314572540042,0.24056518654991732,1000,1000
0.23,0.22,7492.22,5471.788,1.0,5.078,0.2355047586086954,0.2378781396672035,1000,1000
0.24,0.01,5.241,3.787,1.0,18.274,0.06961130857551134,0.40166586151881234,1000,1000
0.24,0.02,9.544,7.1,1.0,13.163,0.08401452490378823,0.30779154492409067,1000,1000
0.24,0.03,14.395,10.107,1.0,11.199,0.09680119337223536,0.2741686906635,1000,1000
0.24,0.04,17.827,12.286,1.0,9.9,0.10884130554503801,0.25853731793915746,1000,1000
0.24,0.05,23.742,16.07,1.0,9.257,0.12086120446973954,0.25159409236098673,1000,1000
0.24,0.06,27.162,18.585,1.0,8.737,0.13225708670411307,0.25078953764509493,1000,1000
0.24,0.07,32.262,21.06,1.0,8.233,0.14434261636660148,0.24940535996881172,1000,1000
0.24,0.08,39.565,25.329,1.0,7.934,0.154451228797532,0.24808096552070213,1000,1000
0.24,0.09,47.261,29.645,1.0,7.574,0.16480187859390175,0.2487832866343585,1000,1000
0.24,0.10,55.472,34.578,1.0,7.097,0.17500612067299853,0.2478730828733901,1000,1000
0.24,0.11,64.721,39.916,1.0,6.954,0.183693321513885,0.2504623496560204,1000,1000
0.24,0.12,79.493,49.434,1.0,6.718,0.19192897499346567,0.2500836679157597,1000,1000
0.24,0.13,98.972,58.382,1.0,6.549,0.2001620588665453,0.2506739743591782,1000,1000
0.24,0.14,119.854,75.552,1.0,6.25,0.2075347584929674,0.2505637661439113,1000,1000
0.24,0.15,146.256,91.416,1.0,6.035,0.214931432409686,0.25147989479263866,1000,1000
0.24,0.16,182.542,113.129,1.0,5.976,0.22137871090804184,0.253447261565679,1000,1000
0.24,0.17,236.215,141.878,1.0,5.716,0.22717514103648065,0.2529492298010603,1000,1000
0.24,0.18,318.23,201.931,1.0,5.683,0.23232117073572678,0.2535544209747416,1000,1000
0.24,0.19,431.25,269.929,1.0,5.447,0.23593005854528593,0.2518125248830654,1000,1000
0.24,0.20,654.566,434.09,1.0,5.18,0.23992741308917306,0.2514077030001119,1000,1000
